70,39,27,4101
12,5,8,1166
25,23,7,2179
74,38,35,4331
11,6,4,1020
22,9,6,1614
8,5,2,758
2,2,2,328
2,1,6,489
7,5,9,1021
19,17,10,1900
9,3,3,767
71,43,35,4367
10,7,6,1101
2,2,2,331
13,5,5,1088
8,3,4,755
6,2,2,526
7,3,4,717
22,25,14,2352
3,4,7,707
2,5,2,482
13,13,21,1921
3,2,2,375
2,4,4,524
36,40,45,3773
9,11,8,1282
1,3,5,473
1,5,4,524
15,18,22,2158
7,6,5,892
2,5,2,480
14,11,12,1588
4,4,6,717
24,20,27,2599
7,10,11,1290
3,7,3,669
1,2,3,322
8,6,6,969
30,27,37,3169
11,5,10,1190
23,25,25,2655
4,5,1,517
9,4,5,886
27,36,24,3013
20,23,16,2278
3,1,4,425
17,8,10,1523
3,2,2,376
25,24,19,2514
7,5,4,805
45,40,43,3903
17,19,20,2187
6,1,5,619
3,1,5,474
20,16,19,2155
17,8,7,1419
8,3,2,662
4,7,8,931
2,4,5,568
17,15,22,2125
3,5,6,715
5,9,10,1123
21,24,26,2593
2,4,1,379
5,5,1,571
1,3,4,428
3,1,3,384
31,30,30,3096
1,0,3,331
2,2,2,477
6,4,8,1241
3,2,2,546
1,2,1,330
2,6,5,953
2,1,3,479
4,3,6,949
1,2,2,401
2,3,0,407
2,1,3,476
11,8,16,2089
78,66,76,7178
5,0,3,618
21,20,17,3008
7,6,7,1354
1,4,1,489
19,22,27,3361
10,6,12,1758
2,1,1,326
2,1,2,400
3,5,5,953
1,6,4,825
2,1,2,404
7,7,8,1463
2,4,0,483
1,4,0,401
4,5,5,1013
3,1,2,485
5,6,3,1018
1,8,5,1023
5,3,5,946
20,23,20,2336
15,16,17,1806
17,17,18,1929
25,29,29,3092
21,21,21,2310
48,44,44,4827
4,5,5,590
36,40,36,4082
54,52,53,5688
38,36,38,4031
26,24,26,2754
38,40,40,4297
47,47,46,5032
47,44,47,4944
38,39,38,4163
30,30,29,3223
19,17,20,2054
32,32,32,3480
49,50,49,5333
49,51,48,5332
20,22,24,2472
36,35,34,3772
34,35,35,3782
41,41,43,4528
27,25,26,2815
21,23,20,2353
29,32,32,3428
15,14,17,1717
30,31,33,3447
14,16,17,1788
37,39,37,4101
47,44,47,4944
15,19,18,1983
8,8,6,837
21,21,20,2265
43,44,47,4875
30,31,30,3312
16,15,15,1689
44,42,43,4624
14,17,16,1787
50,49,49,5307
33,31,30,3364
7,5,6,687
20,23,23,2471
12,14,10,1350
4,8,4,677
45,46,46,4953
11,14,14,1513
29,27,31,3163
44,44,47,4892
31,27,30,3153
21,22,24,2489
28,27,27,2966
54,53,50,5597
42,40,42,4456
14,14,15,1610
38,35,36,3897
2,2,2,288
29,30,28,3160
13,14,14,1548
10,9,11,1140
